locus_tag	ftype	length_bp	gene	EC_number	COG	product
DFNAAEMK_01080	CDS	1491	dgcJ	2.7.7.65	COG2199	putative diguanylate cyclase DgcJ
DFNAAEMK_01081	CDS	504				hypothetical protein
DFNAAEMK_01082	CDS	447				hypothetical protein
DFNAAEMK_01083	CDS	819	nimR			HTH-type transcriptional regulator NimR
DFNAAEMK_01084	CDS	1182	nimT		COG2807	2-nitroimidazole transporter
DFNAAEMK_01085	CDS	348				hypothetical protein
DFNAAEMK_01086	CDS	255				hypothetical protein
DFNAAEMK_01087	CDS	1026	dgcP	2.7.7.65	COG2203	Diguanylate cyclase DgcP
DFNAAEMK_01088	CDS	249				hypothetical protein
DFNAAEMK_01089	CDS	183	yoaG			Protein YoaG
DFNAAEMK_01090	CDS	360	yeaR		COG3615	putative protein YeaR
DFNAAEMK_01091	CDS	639	leuE		COG1280	Leucine efflux protein
DFNAAEMK_01092	CDS	924	dmlR_1			HTH-type transcriptional regulator DmlR
DFNAAEMK_01093	CDS	1086	dmlA	1.1.1.83	COG0473	D-malate dehydrogenase [decarboxylating]
DFNAAEMK_01094	CDS	1431	caiT_1		COG1292	L-carnitine/gamma-butyrobetaine antiporter
DFNAAEMK_01095	CDS	1125	yeaW	1.14.13.-	COG4638	Carnitine monooxygenase oxygenase subunit
DFNAAEMK_01096	CDS	966	yeaX	1.14.13.-	COG1018	Carnitine monooxygenase reductase subunit
DFNAAEMK_01097	CDS	1116	rnd	3.1.13.5	COG0349	Ribonuclease D
DFNAAEMK_01098	CDS	1752	fadD	6.2.1.3	COG0318	Long-chain-fatty-acid--CoA ligase
DFNAAEMK_01099	CDS	582	slp_2		COG3065	Outer membrane protein slp
DFNAAEMK_01100	CDS	696	tsaB		COG1214	tRNA threonylcarbamoyladenosine biosynthesis protein TsaB
DFNAAEMK_01101	CDS	1911	dinG_1	3.6.4.12	COG1199	putative ATP-dependent helicase DinG 
DFNAAEMK_01102	CDS	348	yabJ	3.5.99.10	COG0251	2-iminobutanoate/2-iminopropanoate deaminase
DFNAAEMK_01103	CDS	300				hypothetical protein
DFNAAEMK_01104	CDS	180				hypothetical protein
DFNAAEMK_01105	CDS	1362	pabB	2.6.1.85	COG0147	Aminodeoxychorismate synthase component 1
DFNAAEMK_01106	CDS	579	nudL	3.6.1.-		putative Nudix hydrolase NudL
DFNAAEMK_01107	CDS	1365	sdaA	4.3.1.17	COG1760	L-serine dehydratase 1
DFNAAEMK_01108	CDS	1599	pdeD	3.1.4.52	COG2200	putative cyclic di-GMP phosphodiesterase PdeD
DFNAAEMK_01109	CDS	1557				hypothetical protein
DFNAAEMK_01110	CDS	972	manX	2.7.1.191	COG2893	PTS system mannose-specific EIIAB component
DFNAAEMK_01111	CDS	801	manY		COG3715	PTS system mannose-specific EIIC component
DFNAAEMK_01112	CDS	852	manZ_1		COG3716	PTS system mannose-specific EIID component
DFNAAEMK_01113	CDS	459				hypothetical protein
DFNAAEMK_01114	CDS	567	mntP		COG1971	putative manganese efflux pump MntP
DFNAAEMK_01115	CDS	810	rlmA	2.1.1.187	COG0500	23S rRNA (guanine(745)-N(1))-methyltransferase
DFNAAEMK_01116	CDS	210	cspC		COG1278	Cold shock-like protein CspC
DFNAAEMK_01117	CDS	1401	xanQ		COG2233	Xanthine permease XanQ
DFNAAEMK_01118	CDS	2871	xdhA_1	1.17.1.4	COG1529	Putative xanthine dehydrogenase molybdenum-binding subunit XdhA
DFNAAEMK_01119	CDS	780				hypothetical protein
DFNAAEMK_01120	CDS	1329	ssnA	3.-.-.-	COG0402	Putative aminohydrolase SsnA
DFNAAEMK_01121	CDS	1437	ygfK		COG0493	Putative oxidoreductase YgfK
DFNAAEMK_01122	CDS	1095				hypothetical protein
DFNAAEMK_01123	CDS	351				hypothetical protein
DFNAAEMK_01124	CDS	930	alsK	2.7.1.55	COG1940	D-allose kinase
DFNAAEMK_01125	CDS	696	alsE	5.1.3.-	COG0036	D-allulose-6-phosphate 3-epimerase
DFNAAEMK_01126	CDS	981	alsC		COG1172	D-allose transport system permease protein AlsC
DFNAAEMK_01127	CDS	1533	rbsA_2	3.6.3.17	COG1129	Ribose import ATP-binding protein RbsA
DFNAAEMK_01128	CDS	936	alsB		COG1879	D-allose-binding periplasmic protein
DFNAAEMK_01129	CDS	891	rpiR		COG1737	HTH-type transcriptional regulator RpiR
DFNAAEMK_01130	CDS	450	rpiB	5.3.1.6	COG0698	Ribose-5-phosphate isomerase B
DFNAAEMK_01131	CDS	330				hypothetical protein
DFNAAEMK_01132	CDS	759	phnP	3.1.4.55	COG1235	Phosphoribosyl 1,2-cyclic phosphate phosphodiesterase
DFNAAEMK_01133	CDS	435	phnO	2.3.1.-		Aminoalkylphosphonate N-acetyltransferase
DFNAAEMK_01134	CDS	558	phnN	2.7.4.23	COG3709	Ribose 1,5-bisphosphate phosphokinase PhnN
DFNAAEMK_01135	CDS	1137	phnM	3.6.1.63	COG3454	Alpha-D-ribose 1-methylphosphonate 5-triphosphate diphosphatase
DFNAAEMK_01136	CDS	681	phnL	2.7.8.37	COG4778	Alpha-D-ribose 1-methylphosphonate 5-triphosphate synthase subunit PhnL
DFNAAEMK_01137	CDS	486	sixA	3.1.3.-	COG2062	Phosphohistidine phosphatase SixA
DFNAAEMK_01138	CDS	2145	fadJ		COG1024	Fatty acid oxidation complex subunit alpha
DFNAAEMK_01139	CDS	1311	fadI	2.3.1.16	COG0183	3-ketoacyl-CoA thiolase FadI
DFNAAEMK_01140	CDS	285				hypothetical protein
DFNAAEMK_01141	CDS	1341	fadL		COG2067	Long-chain fatty acid transport protein
DFNAAEMK_01142	CDS	1059				hypothetical protein
DFNAAEMK_01143	CDS	756	mlaA		COG2853	putative phospholipid-binding lipoprotein MlaA
DFNAAEMK_01144	CDS	327	ghxP		COG2252	Guanine/hypoxanthine permease GhxP
DFNAAEMK_01145	CDS	1650	nhaK		COG0025	Sodium, potassium, lithium and rubidium/H(+) antiporter
DFNAAEMK_01146	CDS	1293				hypothetical protein
DFNAAEMK_01147	CDS	1650	actP		COG4147	Cation/acetate symporter ActP
DFNAAEMK_01148	CDS	315	yjcH		COG3162	Inner membrane protein YjcH
DFNAAEMK_01149	CDS	1959	acs	6.2.1.1	COG0365	Acetyl-coenzyme A synthetase
DFNAAEMK_01150	CDS	1437	nrfA	1.7.2.2	COG3303	Cytochrome c-552
DFNAAEMK_01151	CDS	567	nrfB			Cytochrome c-type protein NrfB
DFNAAEMK_01152	CDS	672	ydhX_1		COG0437	putative ferredoxin-like protein YdhX
DFNAAEMK_01153	CDS	957				hypothetical protein
DFNAAEMK_01154	CDS	1623	ccmF_1		COG1138	Cytochrome c-type biogenesis protein CcmF
DFNAAEMK_01155	CDS	384	ccmH_1		COG3088	Cytochrome c-type biogenesis protein CcmH
DFNAAEMK_01156	CDS	597	nrfG		COG4235	Formate-dependent nitrite reductase complex subunit NrfG
DFNAAEMK_01157	CDS	1314	gltP		COG1301	Proton/glutamate-aspartate symporter
DFNAAEMK_01158	CDS	1326	zraR		COG2204	Transcriptional regulatory protein ZraR
DFNAAEMK_01159	CDS	1398	zraS	2.7.13.3		Sensor protein ZraS
DFNAAEMK_01160	CDS	129				hypothetical protein
DFNAAEMK_01161	CDS	426	zraP		COG3678	Zinc resistance-associated protein
DFNAAEMK_01162	CDS	636				hypothetical protein
DFNAAEMK_01163	CDS	273	hupA		COG0776	DNA-binding protein HU-alpha
DFNAAEMK_01164	CDS	591			COG3068	putative protein
DFNAAEMK_01165	CDS	672	nfi	3.1.21.7	COG1515	Endonuclease V
DFNAAEMK_01166	CDS	1065	hemE	4.1.1.37	COG0407	Uroporphyrinogen decarboxylase
DFNAAEMK_01167	CDS	774	nudC	3.6.1.22	COG2816	NADH pyrophosphatase
DFNAAEMK_01168	CDS	477	rsd		COG3160	Regulator of sigma D
DFNAAEMK_01169	CDS	1896	thiC	4.1.99.17	COG0422	Phosphomethylpyrimidine synthase
DFNAAEMK_01170	CDS	636	thiE	2.5.1.3	COG0352	Thiamine-phosphate synthase
DFNAAEMK_01171	CDS	756	thiF	2.7.7.73	COG0476	Sulfur carrier protein ThiS adenylyltransferase
DFNAAEMK_01172	CDS	201	thiS		COG2104	Sulfur carrier protein ThiS
DFNAAEMK_01173	CDS	771	thiG	2.8.1.10	COG2022	Thiazole synthase
DFNAAEMK_01174	CDS	1134	thiH	4.1.99.19	COG1060	2-iminoacetate synthase
DFNAAEMK_01175	CDS	333	htrC_1			Heat shock protein C
DFNAAEMK_01176	CDS	90	htrC_2			Heat shock protein C
DFNAAEMK_01177	CDS	4224	rpoC	2.7.7.6		DNA-directed RNA polymerase subunit beta'
DFNAAEMK_01178	CDS	4029	rpoB	2.7.7.6		DNA-directed RNA polymerase subunit beta
DFNAAEMK_01179	CDS	366	rplL		COG0222	50S ribosomal protein L7/L12
DFNAAEMK_01180	CDS	498	rplJ		COG0244	50S ribosomal protein L10
DFNAAEMK_01181	CDS	705	rplA		COG0081	50S ribosomal protein L1
DFNAAEMK_01182	CDS	429	rplK		COG0080	50S ribosomal protein L11
DFNAAEMK_01183	CDS	546	nusG		COG0250	Transcription termination/antitermination protein NusG
DFNAAEMK_01184	CDS	384	secE		COG0690	Protein translocase subunit SecE
DFNAAEMK_01185	CDS	1284	gltA	2.3.3.16	COG0372	Citrate synthase
DFNAAEMK_01186	CDS	108				hypothetical protein
DFNAAEMK_01187	CDS	405	sdhC		COG2009	Succinate dehydrogenase cytochrome b556 subunit
DFNAAEMK_01188	CDS	348	sdhD		COG2142	Succinate dehydrogenase hydrophobic membrane anchor subunit
DFNAAEMK_01189	CDS	1767	sdhA	1.3.5.1	COG1053	Succinate dehydrogenase flavoprotein subunit
DFNAAEMK_01190	CDS	717	sdhB	1.3.5.1	COG0479	Succinate dehydrogenase iron-sulfur subunit
DFNAAEMK_01191	CDS	2802	sucA	1.2.4.2	COG0567	2-oxoglutarate dehydrogenase E1 component
DFNAAEMK_01192	CDS	1218	sucB	2.3.1.61	COG0508	Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex
DFNAAEMK_01193	CDS	1167	sucC	6.2.1.5	COG0045	Succinate--CoA ligase [ADP-forming] subunit beta
DFNAAEMK_01194	CDS	870	sucD	6.2.1.5	COG0074	Succinate--CoA ligase [ADP-forming] subunit alpha
DFNAAEMK_01195	CDS	723	mngR_1		COG2188	Mannosyl-D-glycerate transport/metabolism system repressor MngR
DFNAAEMK_01196	CDS	552				hypothetical protein
DFNAAEMK_01197	CDS	1353	pmbA	3.4.-.-	COG0312	Metalloprotease PmbA
DFNAAEMK_01198	CDS	303	cybC		COG3783	Soluble cytochrome b562
DFNAAEMK_01199	CDS	465	nrdG	1.97.1.-	COG0602	Anaerobic ribonucleoside-triphosphate reductase-activating protein
DFNAAEMK_01200	CDS	2139	nrdD	1.1.98.6	COG1328	Anaerobic ribonucleoside-triphosphate reductase
DFNAAEMK_01201	CDS	1656	treC	3.2.1.93	COG0366	Trehalose-6-phosphate hydrolase
DFNAAEMK_01202	CDS	1422	treB		COG1263	PTS system trehalose-specific EIIBC component
DFNAAEMK_01203	CDS	948	treR		COG1609	HTH-type transcriptional regulator TreR
DFNAAEMK_01204	CDS	2697	mgtA	3.6.3.2	COG0474	Magnesium-transporting ATPase, P-type 1
DFNAAEMK_01205	CDS	387	ridA	3.5.99.10	COG0251	2-iminobutanoate/2-iminopropanoate deaminase
DFNAAEMK_01206	CDS	462	pyrI		COG1781	Aspartate carbamoyltransferase regulatory chain
DFNAAEMK_01207	CDS	936	pyrB	2.1.3.2	COG0540	Aspartate carbamoyltransferase catalytic subunit
DFNAAEMK_01208	CDS	396	yjgH		COG0251	RutC family protein YjgH
DFNAAEMK_01209	CDS	714	bdcA		COG1028	Cyclic-di-GMP-binding biofilm dispersal mediator protein
DFNAAEMK_01210	CDS	594	bdcR			HTH-type transcriptional repressor BdcR
DFNAAEMK_01211	CDS	453	tabA		COG2731	Toxin-antitoxin biofilm protein TabA
DFNAAEMK_01212	CDS	1581				hypothetical protein
DFNAAEMK_01213	CDS	213				hypothetical protein
DFNAAEMK_01214	CDS	324	yiaW_1			Inner membrane protein YiaW
DFNAAEMK_01215	CDS	1137	yiaV		COG1566	Inner membrane protein YiaV
DFNAAEMK_01216	CDS	975				hypothetical protein
DFNAAEMK_01217	CDS	741	mipA_1		COG3713	MltA-interacting protein
DFNAAEMK_01218	CDS	696	sgbE	5.1.3.4	COG0235	L-ribulose-5-phosphate 4-epimerase SgbE
DFNAAEMK_01219	CDS	861	ulaE_2	5.1.3.22	COG3623	L-ribulose-5-phosphate 3-epimerase UlaE
DFNAAEMK_01220	CDS	663	sgbH	4.1.1.85	COG0269	3-keto-L-gulonate-6-phosphate decarboxylase SgbH
DFNAAEMK_01221	CDS	1497	lyx	2.7.1.-	COG1070	L-xylulose/3-keto-L-gulonate kinase
DFNAAEMK_01222	CDS	987	yiaO		COG1638	2,3-diketo-L-gulonate-binding periplasmic protein YiaO
DFNAAEMK_01223	CDS	663	dctM		COG1593	C4-dicarboxylate TRAP transporter large permease protein DctM
DFNAAEMK_01224	CDS	723	ubiG	2.1.1.222	COG2227	Ubiquinone biosynthesis O-methyltransferase
DFNAAEMK_01225	CDS	972				hypothetical protein
DFNAAEMK_01226	CDS	489				hypothetical protein
DFNAAEMK_01227	CDS	576	coaBC		COG0452	Coenzyme A biosynthesis bifunctional protein CoaBC
DFNAAEMK_01228	CDS	459	dut	3.6.1.23	COG0756	Deoxyuridine 5'-triphosphate nucleotidohydrolase
DFNAAEMK_01229	CDS	597	slmA			Nucleoid occlusion factor SlmA
DFNAAEMK_01230	CDS	642	pyrE	2.4.2.10	COG0461	Orotate phosphoribosyltransferase
DFNAAEMK_01231	CDS	717	rph	2.7.7.56		Ribonuclease PH
DFNAAEMK_01232	CDS	864				hypothetical protein
DFNAAEMK_01233	CDS	825				hypothetical protein
DFNAAEMK_01234	CDS	618				hypothetical protein
DFNAAEMK_01235	CDS	1683	ligB	6.5.1.2	COG0272	DNA ligase B
DFNAAEMK_01236	CDS	624	gmk	2.7.4.8	COG0194	Guanylate kinase
DFNAAEMK_01237	CDS	276	rpoZ	2.7.7.6		DNA-directed RNA polymerase subunit omega
DFNAAEMK_01238	CDS	2109	spoT		COG0317	Bifunctional (p)ppGpp synthase/hydrolase SpoT
DFNAAEMK_01239	CDS	690	trmH	2.1.1.34	COG0566	tRNA (guanosine(18)-2'-O)-methyltransferase
DFNAAEMK_01240	CDS	2082	recG	3.6.4.12	COG1200	ATP-dependent DNA helicase RecG
DFNAAEMK_01241	CDS	1206	gltS		COG0786	Sodium/glutamate symporter
DFNAAEMK_01242	CDS	1392	xanP		COG2233	Xanthine permease XanP
DFNAAEMK_01243	CDS	1710				hypothetical protein
DFNAAEMK_01244	CDS	2319	yicI	3.2.1.177	COG1501	Alpha-xylosidase
DFNAAEMK_01245	CDS	1383	yicJ		COG2211	Inner membrane symporter YicJ
DFNAAEMK_01246	tRNA	95				tRNA-SeC(tca)
DFNAAEMK_01247	CDS	1185	setC			Sugar efflux transporter C
DFNAAEMK_01248	CDS	924	yicL		COG0697	putative inner membrane transporter YicL
DFNAAEMK_01249	CDS	819	nlpA		COG1464	Lipoprotein 28
DFNAAEMK_01250	CDS	294				hypothetical protein
DFNAAEMK_01251	CDS	1239	nepI		COG2814	Purine ribonucleoside efflux pump NepI
DFNAAEMK_01252	CDS	453				hypothetical protein
DFNAAEMK_01253	CDS	1335	adeQ		COG2252	Adenine permease AdeQ
DFNAAEMK_01254	CDS	1767	ade	3.5.4.2	COG1001	Adenine deaminase
DFNAAEMK_01255	CDS	861	uhpT		COG2271	Hexose-6-phosphate:phosphate antiporter
DFNAAEMK_01256	CDS	474	rlmI	2.1.1.191	COG1092	Ribosomal RNA large subunit methyltransferase I
DFNAAEMK_01257	CDS	318	hspQ		COG3785	Heat shock protein HspQ
DFNAAEMK_01258	CDS	414	yccU		COG1832	putative protein YccU
DFNAAEMK_01259	CDS	663				hypothetical protein
DFNAAEMK_01260	CDS	459	mgsA	4.2.3.3	COG1803	Methylglyoxal synthase
DFNAAEMK_01261	CDS	2055	helD	3.6.4.12	COG0210	DNA helicase IV
DFNAAEMK_01262	CDS	447	yccF		COG3304	Inner membrane protein YccF
DFNAAEMK_01263	CDS	2163	yccS		COG1289	Inner membrane protein YccS
DFNAAEMK_01264	CDS	630	sxy		COG3070	Protein Sxy
DFNAAEMK_01265	CDS	510	sulA		COG5404	Cell division inhibitor SulA
DFNAAEMK_01266	CDS	1041	ompA		COG2885	Outer membrane protein A
DFNAAEMK_01267	CDS	453	matP		COG3120	Macrodomain Ter protein
DFNAAEMK_01268	CDS	1761	lon_1	3.4.21.53		Lon protease
DFNAAEMK_01269	CDS	627	fabA	4.2.1.59	COG0764	3-hydroxydecanoyl-[acyl-carrier-protein] dehydratase
DFNAAEMK_01270	CDS	168	rmf		COG3130	Ribosome modulation factor
DFNAAEMK_01271	CDS	564				hypothetical protein
DFNAAEMK_01272	CDS	1641	pqiB		COG3008	Paraquat-inducible protein B
DFNAAEMK_01273	CDS	1254	pqiA		COG2995	Paraquat-inducible protein A
DFNAAEMK_01274	CDS	1908	uup		COG0488	ABC transporter ATP-binding protein uup
DFNAAEMK_01275	CDS	2109	rlmL		COG0116	Ribosomal RNA large subunit methyltransferase K/L
DFNAAEMK_01276	CDS	1110	ycbX		COG0633	putative protein YcbX
DFNAAEMK_01277	CDS	543	zapC			Cell division protein ZapC
DFNAAEMK_01278	CDS	1011	pyrD	1.3.5.2	COG0167	Dihydroorotate dehydrogenase (quinone)
DFNAAEMK_01279	CDS	690	ycbF		COG3121	putative fimbrial chaperone YcbF
DFNAAEMK_01280	CDS	564	ycbV		COG3539	putative fimbrial-like protein YcbV
DFNAAEMK_01281	CDS	543	ycbU		COG3539	putative fimbrial-like protein YcbU
DFNAAEMK_01282	CDS	1071	elfG		COG3539	putative fimbrial-like protein ElfG
DFNAAEMK_01283	CDS	2601	elfC		COG3188	putative outer membrane usher protein ElfC
DFNAAEMK_01284	CDS	702	elfD		COG3121	putative fimbrial chaperone protein ElfD
DFNAAEMK_01285	CDS	540	elfA			Fimbrial subunit ElfA
DFNAAEMK_01286	CDS	855	rpoH		COG0568	RNA polymerase sigma factor RpoH
DFNAAEMK_01287	CDS	1059	ftsX		COG2177	Cell division protein FtsX
DFNAAEMK_01288	CDS	669	ftsE		COG2884	Cell division ATP-binding protein FtsE
DFNAAEMK_01289	CDS	789	ftsY		COG0552	Signal recognition particle receptor FtsY
DFNAAEMK_01290	CDS	201				hypothetical protein
DFNAAEMK_01291	CDS	174	gnsA_1			Protein GnsA
DFNAAEMK_01292	CDS	1074	yccM		COG0348	Putative electron transport protein YccM
DFNAAEMK_01293	CDS	2700	torS	2.7.13.3	COG0784	Sensor protein TorS
DFNAAEMK_01294	CDS	1029	torT		COG1879	Periplasmic protein TorT
DFNAAEMK_01295	CDS	693	torR		COG0745	TorCAD operon transcriptional regulatory protein TorR
DFNAAEMK_01296	CDS	1173	torC		COG3005	Cytochrome c-type protein TorC
DFNAAEMK_01297	CDS	2547	torA	1.7.2.3	COG0243	Trimethylamine-N-oxide reductase 1
DFNAAEMK_01298	CDS	600	torD		COG3381	Chaperone protein TorD
DFNAAEMK_01299	CDS	306	cbpM			Chaperone modulatory protein CbpM
DFNAAEMK_01300	CDS	921	cbpA		COG2214	Curved DNA-binding protein
DFNAAEMK_01301	CDS	1257				hypothetical protein
DFNAAEMK_01302	CDS	1242	agp	3.1.3.10		Glucose-1-phosphatase
DFNAAEMK_01303	CDS	228	yccJ			putative protein YccJ
DFNAAEMK_01304	CDS	597		1.6.5.2		NAD(P)H dehydrogenase (quinone)
DFNAAEMK_01305	CDS	108				hypothetical protein
DFNAAEMK_01306	CDS	1329	rutG		COG2233	Putative pyrimidine permease RutG
DFNAAEMK_01307	CDS	495	rutF	1.5.1.42	COG1853	FMN reductase (NADH) RutF
DFNAAEMK_01308	CDS	591	rutE	1.1.1.298	COG0778	putative malonic semialdehyde reductase RutE
DFNAAEMK_01309	CDS	801	rutD	3.5.1.-	COG0596	Putative aminoacrylate hydrolase RutD
DFNAAEMK_01310	CDS	387	rutC	1.-.-.-	COG0251	Putative aminoacrylate peracid reductase RutC
DFNAAEMK_01311	CDS	696	rutB	3.5.1.110	COG1335	Peroxyureidoacrylate/ureidoacrylate amidohydrolase RutB
DFNAAEMK_01312	CDS	1092	rutA	1.14.99.46	COG2141	Pyrimidine monooxygenase RutA
DFNAAEMK_01313	CDS	639	rutR		COG1309	HTH-type transcriptional regulator RutR
DFNAAEMK_01314	CDS	3963	putA		COG0506	Bifunctional protein PutA
DFNAAEMK_01315	CDS	210				hypothetical protein
DFNAAEMK_01316	CDS	1509	putP		COG0591	Sodium/proline symporter
DFNAAEMK_01317	CDS	1650	pgi	5.3.1.9	COG0166	Glucose-6-phosphate isomerase
DFNAAEMK_01318	CDS	1350	lysC	2.7.2.4	COG0527	Lysine-sensitive aspartokinase 3
DFNAAEMK_01319	CDS	273				hypothetical protein
DFNAAEMK_01320	CDS	873	rluF	5.4.99.21	COG1187	23S rRNA pseudouridine(2604) synthase
DFNAAEMK_01321	CDS	690	pepE	3.4.13.21	COG3340	Peptidase E
DFNAAEMK_01322	CDS	1632				hypothetical protein
DFNAAEMK_01323	CDS	3684	metH	2.1.1.13	COG0646	Methionine synthase
DFNAAEMK_01324	CDS	825	iclR		COG1414	Transcriptional repressor IclR
DFNAAEMK_01325	CDS	2187				hypothetical protein
DFNAAEMK_01326	CDS	1737	aceK	2.7.11.5	COG4579	Isocitrate dehydrogenase kinase/phosphatase
DFNAAEMK_01327	CDS	285	yddM		COG3093	putative HTH-type transcriptional regulator YddM
DFNAAEMK_01328	CDS	1011	adhP	1.1.1.1	COG1064	Alcohol dehydrogenase, propanol-preferring
DFNAAEMK_01329	CDS	1698	maeA	1.1.1.38	COG0281	NAD-dependent malic enzyme
DFNAAEMK_01330	CDS	138	sra			Stationary-phase-induced ribosome-associated protein
DFNAAEMK_01331	CDS	216	bdm			Protein bdm
DFNAAEMK_01332	CDS	432	osmC	1.11.1.15	COG1764	Peroxiredoxin OsmC
DFNAAEMK_01333	CDS	927	ddpF		COG1124	putative D,D-dipeptide transport ATP-binding protein DdpF
DFNAAEMK_01334	CDS	987	ddpD		COG0444	putative D,D-dipeptide transport ATP-binding protein DdpD
DFNAAEMK_01335	CDS	897	ddpC		COG1173	putative D,D-dipeptide transport system permease protein DdpC
DFNAAEMK_01336	CDS	876	ddpB		COG0601	putative D,D-dipeptide transport system permease protein DdpB
DFNAAEMK_01337	CDS	1551	ddpA		COG0747	putative D,D-dipeptide-binding periplasmic protein DdpA
DFNAAEMK_01338	CDS	582	ddpX	3.4.13.22	COG2173	D-alanyl-D-alanine dipeptidase
DFNAAEMK_01339	CDS	2400	dosP	3.1.4.52	COG2199	Oxygen sensor protein DosP
DFNAAEMK_01340	CDS	1383	dosC	2.7.7.65		Diguanylate cyclase DosC
DFNAAEMK_01341	CDS	1320				hypothetical protein
DFNAAEMK_01342	CDS	1536	gadC		COG0531	putative glutamate/gamma-aminobutyrate antiporter
DFNAAEMK_01343	CDS	339				hypothetical protein
DFNAAEMK_01344	CDS	927	motB		COG1360	Motility protein B
DFNAAEMK_01345	CDS	888	motA		COG1291	Motility protein A
DFNAAEMK_01346	CDS	579	flhC			Flagellar transcriptional regulator FlhC
DFNAAEMK_01347	CDS	351	flhD			Flagellar transcriptional regulator FlhD
DFNAAEMK_01348	CDS	429	uspC		COG0589	Universal stress protein C
DFNAAEMK_01349	CDS	1425	otsA	2.4.1.15	COG0380	Trehalose-6-phosphate synthase
DFNAAEMK_01350	CDS	801	otsB	3.1.3.12	COG1877	Trehalose-6-phosphate phosphatase
DFNAAEMK_01351	CDS	987	rbsC_2		COG1172	Ribose import permease protein RbsC
DFNAAEMK_01352	CDS	1515	araG	3.6.3.17	COG1129	Arabinose import ATP-binding protein AraG
DFNAAEMK_01353	CDS	990	araF		COG1879	L-arabinose-binding periplasmic protein
DFNAAEMK_01354	CDS	504	ftnA_1	1.16.3.2	COG1528	Bacterial non-heme ferritin
DFNAAEMK_01355	CDS	252				hypothetical protein
DFNAAEMK_01356	CDS	324				hypothetical protein
DFNAAEMK_01357	CDS	498	ftnA_2	1.16.3.2	COG1528	Bacterial non-heme ferritin
DFNAAEMK_01358	CDS	240				hypothetical protein
DFNAAEMK_01359	CDS	1212	tyrP		COG0814	Tyrosine-specific transport protein
DFNAAEMK_01360	CDS	666				hypothetical protein
DFNAAEMK_01361	tRNA	87				tRNA-Leu(taa)
DFNAAEMK_01362	tRNA	74				tRNA-Cys(gca)
DFNAAEMK_01363	tRNA	76				tRNA-Gly(gcc)
DFNAAEMK_01364	CDS	549	pgsA	2.7.8.5	COG0558	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase
DFNAAEMK_01365	CDS	1833	uvrC		COG0322	UvrABC system protein C
DFNAAEMK_01366	CDS	657	uvrY		COG2197	Response regulator UvrY
DFNAAEMK_01367	CDS	225				hypothetical protein
DFNAAEMK_01368	CDS	723	sdiA		COG2771	Regulatory protein SdiA
DFNAAEMK_01369	CDS	753	artM_1		COG1126	Arginine transport ATP-binding protein ArtM
DFNAAEMK_01370	CDS	669	yecS		COG0765	L-cystine transport system permease protein YecS
DFNAAEMK_01371	CDS	987	dcyD	4.4.1.15	COG2515	D-cysteine desulfhydrase
DFNAAEMK_01372	CDS	858	fliY		COG0834	L-cystine-binding protein FliY
DFNAAEMK_01373	CDS	552	fliZ			Regulator of sigma S factor FliZ
DFNAAEMK_01374	CDS	720	fliA		COG1191	RNA polymerase sigma factor FliA
DFNAAEMK_01375	CDS	102				hypothetical protein
DFNAAEMK_01376	CDS	1221	sbmA		COG1133	Peptide antibiotic transporter SbmA
DFNAAEMK_01377	CDS	1095				hypothetical protein
DFNAAEMK_01378	CDS	309	yaiY			Inner membrane protein YaiY
DFNAAEMK_01379	CDS	213				hypothetical protein
DFNAAEMK_01380	CDS	1095	ddlA	6.3.2.4	COG1181	D-alanine--D-alanine ligase A
DFNAAEMK_01381	CDS	1203	sbcD		COG0420	Nuclease SbcCD subunit D
DFNAAEMK_01382	CDS	690	phoB		COG0745	Phosphate regulon transcriptional regulatory protein PhoB
DFNAAEMK_01383	CDS	1296	phoR	2.7.13.3		Phosphate regulon sensor protein PhoR
DFNAAEMK_01384	CDS	1320	brnQ		COG1114	Branched-chain amino acid transport system 2 carrier protein
DFNAAEMK_01385	CDS	1374	proY		COG1113	Proline-specific permease ProY
DFNAAEMK_01386	CDS	1818	malZ	3.2.1.20	COG0366	Maltodextrin glucosidase
DFNAAEMK_01387	CDS	255	acpH	3.1.4.14	COG3124	Acyl carrier protein phosphodiesterase
DFNAAEMK_01388	CDS	1425	trkG		COG0168	Trk system potassium uptake protein TrkG
DFNAAEMK_01389	CDS	264				hypothetical protein
DFNAAEMK_01390	CDS	360				hypothetical protein
DFNAAEMK_01391	CDS	1029				hypothetical protein
DFNAAEMK_01392	CDS	243				hypothetical protein
DFNAAEMK_01393	CDS	432				hypothetical protein
DFNAAEMK_01394	CDS	849	alkA	3.2.2.21	COG0122	DNA-3-methyladenine glycosylase 2
DFNAAEMK_01395	CDS	3318	dgcE	2.7.7.65	COG2202	putative diguanylate cyclase DgcE
DFNAAEMK_01396	CDS	642	udk	2.7.1.48	COG0572	Uridine kinase
DFNAAEMK_01397	CDS	582	dcd	3.5.4.13	COG0717	dCTP deaminase
DFNAAEMK_01398	CDS	2337	arcB	2.7.13.3	COG0642	Aerobic respiration control sensor protein ArcB
DFNAAEMK_01399	CDS	930				hypothetical protein
